,time,pre_total_sheet
729,2020/11/11-10,17
730,2020/11/11-11,11
731,2020/11/11-12,34
732,2020/11/11-13,46
733,2020/11/11-14,29
734,2020/11/11-15,19
735,2020/11/11-16,46
736,2020/11/11-17,17
737,2020/11/11-18,42
738,2020/11/11-19,10
739,2020/11/11-20,8
740,2020/11/11-21,2
741,2020/11/11-22,30
742,2020/11/11-23,30
743,2020/11/12-0,14
744,2020/11/12-1,1
745,2020/11/12-2,15
746,2020/11/12-3,27
747,2020/11/12-4,4
748,2020/11/12-5,7
749,2020/11/12-7,5
750,2020/11/12-8,20
751,2020/11/12-9,8
752,2020/11/12-10,39
753,2020/11/12-11,47
754,2020/11/12-12,27
755,2020/11/12-13,12
756,2020/11/12-14,13
757,2020/11/12-15,8
758,2020/11/12-16,7
759,2020/11/12-17,26
760,2020/11/12-18,13
761,2020/11/12-19,6
762,2020/11/12-20,17
763,2020/11/12-21,13
764,2020/11/12-22,2
765,2020/11/12-23,20
766,2020/11/13-0,11
767,2020/11/13-1,2
768,2020/11/13-2,4
769,2020/11/13-4,14
770,2020/11/13-5,4
771,2020/11/13-6,2
772,2020/11/13-7,2
773,2020/11/13-8,3
774,2020/11/13-9,4
775,2020/11/13-10,15
776,2020/11/13-11,14
777,2020/11/13-12,37
778,2020/11/13-13,38
779,2020/11/13-14,4
780,2020/11/13-15,2
781,2020/11/13-16,1
782,2020/11/13-17,21
783,2020/11/13-18,2
784,2020/11/13-19,32
785,2020/11/13-20,19
786,2020/11/13-21,8
787,2020/11/13-22,6
788,2020/11/13-23,3
789,2020/11/14-0,7
790,2020/11/14-1,61
791,2020/11/14-2,14
792,2020/11/14-3,13
793,2020/11/14-4,20
794,2020/11/14-5,3
795,2020/11/14-6,2
796,2020/11/14-7,1
797,2020/11/14-8,2
798,2020/11/14-9,17
799,2020/11/14-10,7
800,2020/11/14-11,5
801,2020/11/14-12,9
802,2020/11/14-13,7
803,2020/11/14-14,5
804,2020/11/14-15,10
805,2020/11/14-16,6
806,2020/11/14-17,18
807,2020/11/14-18,20
808,2020/11/14-19,15
809,2020/11/14-20,5
810,2020/11/14-21,15
811,2020/11/14-22,5
812,2020/11/14-23,13
813,2020/11/15-0,1
814,2020/11/15-1,12
815,2020/11/15-2,12
816,2020/11/15-3,1
817,2020/11/15-4,14
818,2020/11/15-5,5
819,2020/11/15-6,4
820,2020/11/15-7,2
821,2020/11/15-8,4
822,2020/11/15-9,11
823,2020/11/15-10,8
824,2020/11/15-11,17
825,2020/11/15-12,8
826,2020/11/15-13,4
827,2020/11/15-14,3
828,2020/11/15-15,11
829,2020/11/15-16,1
830,2020/11/15-17,29
831,2020/11/15-18,7
832,2020/11/15-19,17
833,2020/11/15-20,4
834,2020/11/15-22,37
835,2020/11/15-23,18
836,2020/11/17-0,34
837,2020/11/17-1,1
838,2020/11/17-2,3
839,2020/11/17-3,3
840,2020/11/17-4,4
841,2020/11/17-6,4
842,2020/11/17-7,2
843,2020/11/17-9,5
844,2020/11/17-10,3
845,2020/11/17-11,10
846,2020/11/17-12,27
847,2020/11/17-13,1
848,2020/11/17-14,4
849,2020/11/17-15,12
850,2020/11/17-16,10
851,2020/11/17-17,3
852,2020/11/17-18,8
853,2020/11/17-19,10
854,2020/11/17-20,2
855,2020/11/17-21,25
856,2020/11/17-22,27
857,2020/11/18-1,3
858,2020/11/18-2,6
859,2020/11/18-3,14
860,2020/11/18-4,3
861,2020/11/18-5,1
862,2020/11/18-7,1
863,2020/11/18-8,3
864,2020/11/18-9,6
865,2020/11/18-10,6
866,2020/11/18-11,15
867,2020/11/18-12,9
868,2020/11/18-13,2
869,2020/11/18-14,4
870,2020/11/18-15,10
871,2020/11/18-16,5
872,2020/11/18-17,5
873,2020/11/18-18,7
874,2020/11/18-19,11
875,2020/11/18-20,16
876,2020/11/18-21,3
877,2020/11/18-22,18
878,2020/11/18-23,24
879,2020/11/19-0,8
880,2020/11/19-2,21
881,2020/11/19-3,22
882,2020/11/19-4,5
883,2020/11/19-5,2
884,2020/11/19-6,14
885,2020/11/19-7,14
886,2020/11/19-8,7
887,2020/11/19-9,8
888,2020/11/19-10,27
889,2020/11/19-11,28
890,2020/11/19-12,50
891,2020/11/19-13,31
892,2020/11/19-14,10
893,2020/11/19-15,15
894,2020/11/19-16,4
895,2020/11/19-17,3
896,2020/11/19-18,10
897,2020/11/19-19,8
898,2020/11/19-20,7
899,2020/11/19-21,18
900,2020/11/19-23,4
901,2020/11/2-0,9
902,2020/11/2-1,2
903,2020/11/2-2,2
904,2020/11/2-3,1
905,2020/11/2-4,2
906,2020/11/2-6,1
907,2020/11/2-8,10
908,2020/11/2-9,16
909,2020/11/2-10,6
910,2020/11/2-11,15
911,2020/11/2-12,43
912,2020/11/2-13,8
913,2020/11/2-14,7
914,2020/11/2-15,20
915,2020/11/2-16,16
916,2020/11/2-17,10
917,2020/11/2-18,7
918,2020/11/2-19,7
